Film,Year,Awards,Nominations
The English Patient,1996,9,12
The Last Emperor,1987,9,9
Gigi,1958,9,9
Gone with the Wind,1939,8 (2),13
Cabaret,1972,8,10
From Here to Eternity,1953,8,13
Slumdog Millionaire,2008,8,10
My Fair Lady,1964,8,12
Gandhi,1982,8,11
Amadeus,1984,8,11
On the Waterfront,1954,8,12
The Best Years of Our Lives,1946,7 (1),8
The Bridge on the River Kwai,1957,7,8
Shakespeare in Love,1998,7,13
Dances with Wolves,1990,7,12
Schindler's List,1993,7,12
The Sting,1973,7,10
Going My Way,1944,7,10
Patton,1970,7,10
Lawrence of Arabia,1962,7,10
Gravity,2013,7,10
Out of Africa,1985,7,11
Star Wars,1977,6 (1),10
Mrs. Miniver,1942,6,12
La La Land,2016,6,14
Mad Max: Fury Road,2015,6,10
Chicago,2002,6,13
An American in Paris,1951,6,8
The Godfather Part II,1974,6,11
All About Eve,1950,6,14
Forrest Gump,1994,6,13
The Hurt Locker,2009,6,9
A Place in the Sun,1951,6,9
A Man for All Seasons,1966,6,8
Oliver!,1968,5 (1),11
The Sound of Music,1965,5,10
The French Connection,1971,5,8
Terms of Endearment,1983,5,11
The Bad and the Beautiful,1952,5,6
Around the World in 80 Days,1956,5,8
The Apartment,1960,5,10
Braveheart,1995,5,10
In the Heat of the Night,1967,5,7
Doctor Zhivago,1965,5,10
Who's Afraid of Virginia Woolf?,1966,5,13
One Flew over the Cuckoo's Nest,1975,5,9
Wilson,1944,5,10
The Artist,2011,5,10
Saving Private Ryan,1998,5,11
The Aviator,2004,5,11
The Silence of the Lambs,1991,5,7
Mary Poppins,1964,5,13
Kramer vs. Kramer,1979,5,9
Gladiator,2000,5,12
The King and I,1956,5,9
It Happened One Night,1934,5,5
The Deer Hunter,1978,5,9
How Green Was My Valley,1941,5,10
American Beauty,1999,5,8
Hugo,2011,5,11
Raiders of the Lost Ark,1981,4 (1),8
E.T.: The Extra-Terrestrial,1982,4,9
The King's Speech,2010,4,12
Terminator 2: Judgment Day,1991,4,6
Fanny & Alexander (Fanny och Alexander),1983,4,6
Ordinary People,1980,4,6
The Right Stuff,1983,4,8
The Departed,2006,4,5
All That Jazz,1979,4,9
Chariots of Fire,1981,4,7
Network,1976,4,10
All the President's Men,1976,4,8
Rain Man,1988,4,8
Platoon,1986,4,8
Life of Pi,2012,4,11
Barry Lyndon,1975,4,7
Driving Miss Daisy,1989,4,9
Annie Hall,1977,4,5
Birdman,2014,4,9
Butch Cassidy and the Sundance Kid,1969,4,7
High Noon,1952,4,7
Tom Jones,1963,4,10
No Country for Old Men,2007,4,8
Million Dollar Baby,2004,4,7
A Streetcar Named Desire,1951,4,12
Spartacus,1960,4,6
The Shape of Water,2017,4,13
The Song of Bernadette,1943,4,12
Sayonara,1957,4,10
A Beautiful Mind,2001,4,8
Marty,1955,4,8
The Lord of the Rings: The Fellowship of the Ring,2001,4,13
The Informer,1935,4,6
"Crouching Tiger, Hidden Dragon",2000,4,10
Traffic,2000,4,5
The Lost Weekend,1945,4,7
Inception,2010,4,8
Unforgiven,1992,4,9
Hamlet,1948,4,7
The Matrix,1999,4,4
Cleopatra,1963,4,9
Anthony Adverse,1936,4,7
The Heiress,1949,4,8
The Grand Budapest Hotel,2014,4,9
Who Framed Roger Rabbit,1988,3 (1),6
Crash,2005,3,6
Brokeback Mountain,2005,3,8
Howards End,1992,3,9
